table_name,variable_name,value_value,value_label,avail_from_dt
FU1_v0001_20220405,JOB_NOW_FU1,1,Yes,2022-04-08 22:28:46.077
FU1_v0001_20220405,JOB_NOW_FU1,2,No,2022-04-08 22:28:46.077
FU1_v0001_20220405,RETIRED_FU1,1,Yes,2022-04-08 22:28:46.077
FU1_v0001_20220405,RETIRED_FU1,2,No,2022-04-08 22:28:46.077
FU1_v0001_20220405,UNEMPLOYED_FU1,1,Yes,2022-04-08 22:28:46.077
FU1_v0001_20220405,UNEMPLOYED_FU1,2,No,2022-04-08 22:28:46.077
FU1_v0001_20220405,MARITAL_STATUS_FU1,1,Single,2022-04-08 22:28:46.077
FU1_v0001_20220405,MARITAL_STATUS_FU1,2,Married or living as married,2022-04-08 22:28:46.077
FU1_v0001_20220405,MARITAL_STATUS_FU1,3,Widowed,2022-04-08 22:28:46.077
FU1_v0001_20220405,MARITAL_STATUS_FU1,4,Separated,2022-04-08 22:28:46.077
FU1_v0001_20220405,MARITAL_STATUS_FU1,5,Divorced,2022-04-08 22:28:46.077
