table_name,variable_name,value_value,value_label,avail_from_dt
FU2_v0001_20220405,JOB_NOW_FU2,1,Yes,2022-04-08 22:32:30.217
FU2_v0001_20220405,JOB_NOW_FU2,2,No,2022-04-08 22:32:30.217
FU2_v0001_20220405,RETIRED_FU2,1,Yes,2022-04-08 22:32:30.217
FU2_v0001_20220405,RETIRED_FU2,2,No,2022-04-08 22:32:30.217
FU2_v0001_20220405,UNEMPLOYED_FU2,1,Yes,2022-04-08 22:32:30.217
FU2_v0001_20220405,UNEMPLOYED_FU2,2,No,2022-04-08 22:32:30.217
FU2_v0001_20220405,MARITAL_STATUS_FU2,1,Single,2022-04-08 22:32:30.217
FU2_v0001_20220405,MARITAL_STATUS_FU2,2,Married or living as married,2022-04-08 22:32:30.217
FU2_v0001_20220405,MARITAL_STATUS_FU2,3,Widowed,2022-04-08 22:32:30.217
FU2_v0001_20220405,MARITAL_STATUS_FU2,4,Separated,2022-04-08 22:32:30.217
FU2_v0001_20220405,MARITAL_STATUS_FU2,5,Divorced,2022-04-08 22:32:30.217
