table_name,variable_name,value_value,value_label,avail_from_dt
FU3_v0001_20220405,JOB_NOW_FU3,1,Yes,2022-04-08 22:35:54.467
FU3_v0001_20220405,JOB_NOW_FU3,2,No,2022-04-08 22:35:54.467
FU3_v0001_20220405,JOB_NOW_FU3,-7,Don't know,2022-04-08 22:35:54.467
FU3_v0001_20220405,RETIRED_FU3,1,Yes,2022-04-08 22:35:54.467
FU3_v0001_20220405,RETIRED_FU3,2,No,2022-04-08 22:35:54.467
FU3_v0001_20220405,RETIRED_FU3,-7,Don't know,2022-04-08 22:35:54.467
FU3_v0001_20220405,MARITAL_STATUS_FU3,1,Single,2022-04-08 22:35:54.467
FU3_v0001_20220405,MARITAL_STATUS_FU3,2,Married or living as married,2022-04-08 22:35:54.467
FU3_v0001_20220405,MARITAL_STATUS_FU3,3,Widowed,2022-04-08 22:35:54.467
FU3_v0001_20220405,MARITAL_STATUS_FU3,4,Separated,2022-04-08 22:35:54.467
FU3_v0001_20220405,MARITAL_STATUS_FU3,5,Divorced,2022-04-08 22:35:54.467
