,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1068642,NEXTSTEP,ns1_household_grid,study_id_e,,,
1068643,NEXTSTEP,ns1_household_grid,w1hhid,Household member,-92.0,Refused
1068644,NEXTSTEP,ns1_household_grid,w1hhid,Household member,-91.0,Not applicable
1068645,NEXTSTEP,ns1_household_grid,w1hhid,Household member,-1.0,Don't know
1068646,NEXTSTEP,ns1_household_grid,w1ageif,Age of this person,-999.0,Missing household data
1068647,NEXTSTEP,ns1_household_grid,w1ageif,Age of this person,-93.0,Age was incorrect - insufficient information to correct
1068648,NEXTSTEP,ns1_household_grid,w1ageif,Age of this person,-92.0,Refused
1068649,NEXTSTEP,ns1_household_grid,w1ageif,Age of this person,-91.0,Not applicable
1068650,NEXTSTEP,ns1_household_grid,w1ageif,Age of this person,-1.0,Don't know
1068651,NEXTSTEP,ns1_household_grid,w1sex,Sex of this person,-999.0,Missing household data
1068652,NEXTSTEP,ns1_household_grid,w1sex,Sex of this person,-93.0,Age was incorrect - insufficient information to correct
1068653,NEXTSTEP,ns1_household_grid,w1sex,Sex of this person,-92.0,Refused
1068654,NEXTSTEP,ns1_household_grid,w1sex,Sex of this person,-91.0,Not applicable
1068655,NEXTSTEP,ns1_household_grid,w1sex,Sex of this person,-1.0,Don't know
1068656,NEXTSTEP,ns1_household_grid,w1sex,Sex of this person,1.0,Male
1068657,NEXTSTEP,ns1_household_grid,w1sex,Sex of this person,2.0,Female
1068658,NEXTSTEP,ns1_household_grid,w1sex,Sex of this person,3.0,Not Stated
1068659,NEXTSTEP,ns1_household_grid,w1marstat,Marital status of this person,-999.0,Missing household data
1068660,NEXTSTEP,ns1_household_grid,w1marstat,Marital status of this person,-93.0,Age was incorrect - insufficient information to correct
1068661,NEXTSTEP,ns1_household_grid,w1marstat,Marital status of this person,-92.0,Refused
1068662,NEXTSTEP,ns1_household_grid,w1marstat,Marital status of this person,-91.0,Not applicable
1068663,NEXTSTEP,ns1_household_grid,w1marstat,Marital status of this person,-1.0,Don't know
1068664,NEXTSTEP,ns1_household_grid,w1marstat,Marital status of this person,1.0,"Single, that is, never married"
1068665,NEXTSTEP,ns1_household_grid,w1marstat,Marital status of this person,2.0,Married and living with husband or wife
1068666,NEXTSTEP,ns1_household_grid,w1marstat,Marital status of this person,3.0,Living with a partner
1068667,NEXTSTEP,ns1_household_grid,w1marstat,Marital status of this person,4.0,Married and separated from husband or wife
1068668,NEXTSTEP,ns1_household_grid,w1marstat,Marital status of this person,5.0,Divorced
1068669,NEXTSTEP,ns1_household_grid,w1marstat,Marital status of this person,6.0,Widowed
1068670,NEXTSTEP,ns1_household_grid,w1marstat,Marital status of this person,7.0,Other
1068671,NEXTSTEP,ns1_household_grid,w1marstat,Marital status of this person,9.0,Not Stated
1068672,NEXTSTEP,ns1_household_grid,w1livewit,Whether this person living with someone in the household as a couple,-999.0,Missing household data
1068673,NEXTSTEP,ns1_household_grid,w1livewit,Whether this person living with someone in the household as a couple,-93.0,Age was incorrect - insufficient information to correct
1068674,NEXTSTEP,ns1_household_grid,w1livewit,Whether this person living with someone in the household as a couple,-92.0,Refused
1068675,NEXTSTEP,ns1_household_grid,w1livewit,Whether this person living with someone in the household as a couple,-91.0,Not applicable
1068676,NEXTSTEP,ns1_household_grid,w1livewit,Whether this person living with someone in the household as a couple,-1.0,Don't know
1068677,NEXTSTEP,ns1_household_grid,w1livewit,Whether this person living with someone in the household as a couple,1.0,Yes
1068678,NEXTSTEP,ns1_household_grid,w1livewit,Whether this person living with someone in the household as a couple,2.0,No
1068679,NEXTSTEP,ns1_household_grid,w1livewit,Whether this person living with someone in the household as a couple,3.0,(SPONTANEOUS ONLY) Same sex couple
1068680,NEXTSTEP,ns1_household_grid,w1livewit,Whether this person living with someone in the household as a couple,6.0,Not Stated
1068681,NEXTSTEP,ns1_household_grid,w1empstat,Employment status of this person,-999.0,Missing household data
1068682,NEXTSTEP,ns1_household_grid,w1empstat,Employment status of this person,-93.0,Age was incorrect - insufficient information to correct
1068683,NEXTSTEP,ns1_household_grid,w1empstat,Employment status of this person,-92.0,Refused
1068684,NEXTSTEP,ns1_household_grid,w1empstat,Employment status of this person,-91.0,Not applicable
1068685,NEXTSTEP,ns1_household_grid,w1empstat,Employment status of this person,-1.0,Don't know
1068686,NEXTSTEP,ns1_household_grid,w1empstat,Employment status of this person,1.0,Doing paid work for 30 or more hours a week
1068687,NEXTSTEP,ns1_household_grid,w1empstat,Employment status of this person,2.0,Doing paid work for fewer than 30 hours a week
1068688,NEXTSTEP,ns1_household_grid,w1empstat,Employment status of this person,3.0,Unemployed/ Looking for a job
1068689,NEXTSTEP,ns1_household_grid,w1empstat,Employment status of this person,4.0,On a training course or scheme
1068690,NEXTSTEP,ns1_household_grid,w1empstat,Employment status of this person,5.0,In full-time education/ at school
1068691,NEXTSTEP,ns1_household_grid,w1empstat,Employment status of this person,6.0,Looking after the family/ household
1068692,NEXTSTEP,ns1_household_grid,w1empstat,Employment status of this person,7.0,Retired from work altogether
1068693,NEXTSTEP,ns1_household_grid,w1empstat,Employment status of this person,8.0,Sick/ disabled
1068694,NEXTSTEP,ns1_household_grid,w1empstat,Employment status of this person,9.0,Other
1068695,NEXTSTEP,ns1_household_grid,w1empstat,Employment status of this person,12.0,Not Stated
1068696,NEXTSTEP,ns1_household_grid,w1ethgrp,Ethnic group of this person,-999.0,Missing household data
