table_name,variable_name,variable_label,avail_from_dt
DEMOGRAPHICS_v0001_20211101,age,age,2022-03-24 23:10:22.183
DEMOGRAPHICS_v0001_20211101,sex,sex,2022-03-24 23:10:22.183
DEMOGRAPHICS_v0001_20211101,yob,year of birth,2022-03-24 23:10:22.183
DEMOGRAPHICS_v0001_20211101,mob,month of birth,2022-03-24 23:10:22.183
DEMOGRAPHICS_v0001_20211101,appt,Date of appointment,2022-03-24 23:10:22.183
