table_name,variable_name,variable_label,avail_from_dt
BODY_v0002_20220302,height,CRF: C2. Height,2022-03-24 23:10:22.183
BODY_v0002_20220302,weight,CRF: C3. Weight,2022-03-24 23:10:22.183
BODY_v0002_20220302,bmi,Body mass index,2022-03-24 23:10:22.183
BODY_v0002_20220302,waist,CRF: C4. Waist,2022-03-24 23:10:22.183
BODY_v0002_20220302,hips,CRF: C5. Hips,2022-03-24 23:10:22.183
BODY_v0002_20220302,whr,waist:hip ratio,2022-03-24 23:10:22.183
BODY_v0002_20220302,body_fat,CRF: C6. Body Fat Composition,2022-03-24 23:10:22.183
BODY_v0002_20220302,absi,A body shape index,2022-03-24 23:10:22.183
