table_name,variable_name,value_value,value_label,avail_from_dt
FAMILY_v0001_20220405,A3,MZ,Monozygotic,2022-04-05 12:17:14.780
FAMILY_v0001_20220405,A3,DZ,Dizygotic,2022-04-05 12:17:14.780
FAMILY_v0001_20220405,A3,UZ,Unknown or Undetermined yet,2022-04-05 12:17:14.780
