table_name,variable_name,variable_label,avail_from_dt
basicInfo_v0001_20210915,STUDY_ID,Study Number,2022-01-08 21:35:48.003
basicInfo_v0001_20210915,consented,Date consented to TRACK_COVID,2022-01-08 21:35:48.003
basicInfo_v0001_20210915,sex,sex,2022-01-08 21:35:48.003
basicInfo_v0001_20210915,age,age at consent,2022-01-08 21:35:48.003
basicInfo_v0001_20210915,ht,height (metres),2022-01-08 21:35:48.003
basicInfo_v0001_20210915,ethnicity,ethnicity,2022-01-08 21:35:48.003
